1999-9	-1.2	   
1999-10	0.5	   
1999-11	1.7	   
1999-12	1.5	   
2000-1	2.4	   
2000-2	0.1	   
2000-3	-1.9	   
2000-4	-0.3	   
2000-5	-1.1	   
2000-6	-0.3	   
2000-7	-1.1	   
2000-8	0.9	   
2000-9	-1.7	   
2000-10	1.2	   
2000-11	-0.2	   
2000-12	0.5	   
2001-1	-1.5	   
2001-2	0.6	   
2001-3	-1.8	   
2001-4	0.4	   
2001-5	-0.1	   
2001-6	0.6	   
2001-7	-0.4	   
2001-8	1.5	   
2001-9	0.4	   
2001-10	-0.1	   
2001-11	0.9	   
2001-12	0	   
2002-1	-0.6	   
2002-2	-0.7	   
2002-3	0.6	   
2002-4	0.8	   
2002-5	-1.4	   
2002-6	-0.1	   
2002-7	-2.1	   
2002-8	-0.1	   
2002-9	-1.2	   
2002-10	-0.2	   
2002-11	-0.7	   
2002-12	-1.6	   
2003-1	-0.4	   
2003-2	-0.5	   
2003-3	-0.8	   
2003-4	0.6	   
2003-5	0.6	   
2003-6	-1.8	   
2003-7	-1.2	   
2003-8	-0.8	   
2003-9	-1.2	   
2003-10	-1.1	   
2003-11	-1.2	   
2003-12	-0.3	   
2004-1	-0.6	   
2004-2	-0.1	   
2004-3	1	   
2004-4	0.5	   
2004-5	0	   
2004-6	1	   
2004-7	-2.1	   
2004-8	0.1	   
2004-9	-0.6	   
2004-10	-0.4	   
2004-11	-0.9	   
2004-12	-0.3	   
2005-1	0.5	   
2005-2	1.3	   
2005-3	-0.6	   
2005-4	0.3	   
2005-5	-0.5	   
2005-6	-1.5	   
2005-7	-0.6	   
2005-8	-1.5	   
2005-9	-0.2	   
2005-10	-0.7	   
2005-11	0.7	   
2005-12	-0.2	   
2006-1	-1.2	   
2006-2	-0.6	   
2006-3	1.4	   
2006-4	0.3	   
2006-5	-1.5	   
2006-6	0.2	   
2006-7	-2.6	   
2006-8	-2.3	   
2006-9	0.3	   
2006-10	-1	   
2006-11	-2.6	   
2006-12	-1	   
2007-1	-0.8	   
2007-2	-0.5	   
2007-3	0.8	   
2007-4	-0.7	   
2007-5	-0.6	   
2007-6	0.7	   
2007-7	-1.1	   
2007-8	0.7	   
2007-9	2.7	   
2007-10	0.5	   
2007-11	2.2	   
2007-12	0.2	   
2008-1	0.2	   
2008-2	-0.7	   
2008-3	-1.4	   
2008-4	-1.6	   
2008-5	-1.8	   
2008-6	-1.1	   
2008-7	-1.4	   
2008-8	-1.7	   
2008-9	-0.4	   
2008-10	-1.2	   
2008-11	0.2	   
2008-12	-0.4	   
2009-1	-1	   
2009-2	0.3	   
2009-3	0.7	   
2009-4	0.8	   
2009-5	-0.3	   
2009-6	-1.9	   
2009-7	-0.3	   
2009-8	-1.4	   
2009-9	0.8	   
2009-10	-2.2	   
2009-11	-1.4	   
2009-12	-2.9	   
2010-1	-0.7	   
2010-2	-2.6	   
2010-3	-1.4	   
2010-4	-1.1	   
2010-5	-1.1	   
2010-6	-0.4	   
2010-7	-0.5	   
2010-8	-0.5	   
2010-9	-0.5	   
2010-10	1	   
2010-11	-0.8	   
2010-12	0.8	   
2011-1	-1.9	   
2011-2	-2	   
2011-3	-0.2	   
2011-4	-1.6	   
2011-5	-2.1	   
2011-6	-0.9	   
2011-7	-1.9	   
2011-8	-0.7	   
2011-9	0.7	   
2011-10	-1.5	   
2011-11	0.3	   
2011-12	-0.8	   
2012-1	-2.1	   
2012-2	-5.3	   
